Model,MSE,RMSE,MAE,MAPE,Macro_MAE,Accuracy,F1_Macro,F1_Weighted,QWK,Adjacent_Accuracy
baseline,3.1412546738678855,1.7723585060218165,1.3431657665143333,33.579144162858334,2.0,0.28334025758205234,0.08831337002266106,0.1251136650507994,0.0,0.5978396343996676
logistic,1.7374324885749897,1.3181170238544793,0.9414208558371416,23.53552139592854,1.1626419863436421,0.3685085168259244,0.29835708232782765,0.33053736558543295,0.38000117519278886,0.7669297881179892
random_forest,1.4827586206896552,1.217685764345488,0.8554216867469879,21.385542168674696,1.256183220272168,0.3963439966763606,0.25513873960704775,0.35491594767775997,0.3203041286229623,0.8001661819692564
gradient_boosting,1.6360614873286248,1.2790861922984802,0.9131699210635646,22.829248026589116,1.2096969400724695,0.37557125051931867,0.2939495993312784,0.3449862185035223,0.33267093944284565,0.7744079767345243
neural_network,1.4279185708350643,1.1949554681389027,0.837141670128791,20.928541753219776,1.0451923092255566,0.39800581636892396,0.323094319737043,0.3756578694653131,0.42135129121718284,0.8142916493560449
